Company name,Status,Industry,Salary-Cuts,Location
1MG,Hiring freezes,Consumer Goods,No,Gurgaon
6sense,Hiring,,No,"Pune,Bangalore"
91springboard,Hiring freezes,Real Estate,Yes,India
91springboard,Layoffs,Real Estate,Yes,India
247.ai,Layoffs,Communications,Yes,"San Jose, Bangalore"
1988,Offer rescinded,,No,India
A US-based Stealth Startup,Hiring,Consumer Tech,No,Bangalore
A1 wholesale,Hiring,Retail,,India
ABInBev,Hiring freezes,Food & Dining,No,Bangalore
ACC Cement,Offer rescinded,Manufacturing,Yes,Pan India
Accenture,Hiring,Consulting & Services,No,
Ace Turtle,Hiring freezes,Business Software,Yes,India
Aceturtle Services Pvt Ltd,Hiring freezes,Retail,Yes,
Acko,Layoffs,Financial Services,No,Bangalore
Acko,Hiring freezes,Financial Services,No,Bangalore
ACT Fibernet,Hiring,Communications,No,India
acuiti labs,Layoffs,Consulting & Services,No,
Adda247,Layoffs,Education Tech,Yes,Gurgaon
Adda247,Hiring,Education Tech,No,
Adda247,Layoffs,Education Tech,Yes,Gurgaon
Aditya Birla Fashion & Retail,Hiring freezes,Retail,No,
AdmitKard,Hiring freezes,Education Tech,,India
Adobe,Hiring freezes,Productivity Software,No,
Adpushup Inc,Hiring,Information Technology,,Delhi
AEQUS,Hiring,Manufacturing,,Bangalore
Affine Analytics Pvt Ltd,Hiring freezes,Consulting & Services,No,India
Agoda,Hiring freezes,Travel & Transportation,,
AgroStar,Hiring freezes,Retail,Yes,"Pune, Ahmedabad"
AI Spacept,Hiring,Business Software,No,
AirAsia,Hiring freezes,Travel & Transportation,Yes,Company Wide
Airbus,Hiring freezes,Manufacturing,No,
Airtel,Hiring,Communications,,India
Algonox,Hiring freezes,Business Software,Yes,"Hyderabad, Bangalore, Mumbai"
Aliens Developers,Hiring,Real Estate,,Hyderabad
Aliens Developers,Hiring,Real Estate,No,Hyderabad
Allen,Hiring freezes,Education Tech,No,Bangalore
Allied Digital services Ltd.,Hiring,,No,
Ally,Hiring,,No,Chennai
Almug Technologies,Hiring,,,"Bangalore, Hyderabad"
Alshaya,Hiring freeze,Retail,,
Alstom Transport India,Hiring freezes,Manufacturing,No,"Bangalore, Coimbatore, Srilanka"
Alt Balaji,Layoffs,Media & Entertainment,Yes,mumbai
Altair Engineering,Hiring,Business Software,Yes,
Altran,Hiring freezes,Consulting & Services,No,"Gurugram, Bangalore"
Amadeus Software Labs,Hiring freezes,Travel & Transportation,No,Bangalore
Amazon,Hiring,Consumer Tech,,Mumbai
Amazon,Hiring,Retail,,India
Amazon,Hiring,Consumer Tech,,Global
American Express,Hiring freezes,Financial Services,No,India
American Express,Hiring freezes,Financial Services,No,
Americana,Hiring freezes,Retail,Yes,United Arab Emirates
Amplus Solar,Hiring freezes,Energy,No,India
Analytic Edge,Hiring,Consulting & Services,,Bangalore
Anexas,Hiring freezes,Consulting & Services,No,Bangalore
ansrsource India Pvt Ltd,Layoffs,Education Tech,Yes,Bangalore
Anthill Creations,Hiring freezes,Real Estate,No,Bangalore
Antler,Hiring,Venture Capital,,Stockholm
ANZ,Hiring,Business Software,No,
Aon,Hiring,Consulting & Services,No,Mumbai
AOT India,Layoffs,Travel & Transportation,Yes,India
Apollo Tyres,Hiring freezes,Automotive,No,
AppDynamics,Hiring,Business Software,No,Bangalore
Asanna,Hiring freezes,,No,
Ascent Health and Wellness,Hiring freezes,Healthcare,No,India
Asian College of Teachers,Layoffs,Education Tech,Yes,Kolkata
assetmonk,Hiring,Real Estate,,India
Ather Energy Pvt Ltd,Hiring freezes,Automotive,Yes,Bangalore
Atidiv,Layoffs,IT Infrastucture,Yes,
Atlan,Hiring,Business Software,No,"Delhi, Bangalore"
Atlan,Layoffs,Business Software,No,India
Atlassian,Hiring,Business Software,,"Hyderabad, Bangalore"
Atlassian,Hiring,Business Software,No,Bangalore
Atom,Hiring,Consumer Tech,,(Remote)
Auronova,Hiring,Business Software,,"India, UAE"
Autogrid,Layoffs,Business Software,No,Bangalore
Auzaro.,Hiring,Retail,,India
Avail Finance,Layoffs,Financial Services,Yes,Bangalore
Avail Finance,Hiring freezes,Financial Services,Yes,Bangalore
Avance Consultancy,Hiring freezes,Consulting & Services,No,India
Aveva PLC,Hiring freezes,Business Software,No,Cambridge UK
Aviate,Hiring,HR Tech,,India
Aviva India,Hiring,Financial Services,,Gurgaon
Avrio Energy Pvt Ltd,Hiring,Energy,,Gurgaon
Axiom,Hiring freezes,Manufacturing,Yes,Hyderabad
Axis Bank,Hiring,Financial Services,No,India
AxleWeb Technologies,Hiring,Business Software,,India
Axtria,Hiring,Healthcare,,"Gurgaon, Noida, Bangalore"
B9 Beverages,Hiring freezes,Consumer Goods,No,India
B9 Beverages,Layoffs,Consumer Goods,Yes,Delhi
B9 Beverages,Layoffs,Consumer Goods,No,"Delhi, Mumbai, Pune, Bangalore"
Bank Of America,Hiring,Financial Services,No,"Mumbai, Hyderabad, chennai"
Barbeque Nation,Hiring freezes,Food & Dining,Yes,
Barclay's,Hiring freezes,Financial Services,,
Belong.co,Layoffs,HR Tech,No,Bangalore
Belong.co,Layoffs,HR Tech,Yes,India
Belong.co,Layoffs,HR Tech,Yes,india
Betterplace,Hiring,Communications,,Multiple Locations
BharatPe,Layoffs,Financial Services,Yes,
Bharti Airtel,Hiring freezes,Communications,No,India
Bharti Airtel,Hiring,,No,"Gurgaon, Bangalore"
Bidgely Technologies,Hiring,Business Software,Yes,Bangalore
BigBasket,Hiring,Retail,,Bangalore
Bigbasket,Hiring,Consumer Goods,No,Bangalore
BigBinary,Offer rescinded,Business Software,Yes,Remote
BigBinary,Hiring freezes,Business Software,Yes,Remote
BINATI BPO,Hiring,Consulting & Services,No,Brazil
Bizongo,Hiring freezes,Manufacturing,Yes,
BlackBuck,Hiring freezes,Travel & Transportation,Yes,Bangalore
Blackbuck,Layoffs,Travel & Transportation,Yes,Bangalore
BlackRock,Hiring freezes,Financial Services,No,Global
Bloomsvilla,Hiring,Consumer Services,No,India
Bluecore,Hiring,Business Software,No,"Noida, New York, London"
Blueshift Labs Inc,Hiring freezes,Marketing & Advertising,Yes,"San Francisco, Charlotte NC"
Bluetown India Pvt limited,Layoffs,IT Infrastucture,Yes,
BMW Group India,Hiring,Automotive,No,"Gurgaon, Chennai"
Bombay Play,Hiring,Media & Entertainment,No,India
Bookmerilab,Hiring freezes,Healthcare,No,Delhi
Bookmyshow,Hiring freezes,Media & Entertainment,Yes,India
Boston Consulting Group,Hiring freezes,Consulting & Services,No,
Boston Consulting Group,Layoffs,Consulting & Services,No,
Bounce,Layoffs,Travel & Transportation,Yes,India
Bounce,Layoffs,Travel & Transportation,No,Bangalore
Bounce,Hiring freezes,Travel & Transportation,Yes,"Bangalore, Hyderabad"
BP,Hiring freezes,Energy,No,Global
Bright Money,Hiring,Financial Services,No,"Bangalore, San Francisco"
Brillio Technologies,Hiring freezes,Information Technology,Yes,
British Telecom,Hiring freezes,Communications,No,
BrowserStack,Hiring,Business Software,No,Mumbai
Burgundy,Hiring,Financial Services,,India
Business Standard,Hiring freezes,Media & Entertainment,Yes,India
BYJU'S,Hiring,Education Tech,No,India
"Byjus, learnin app",Hiring freezes,Education Tech,No,India
ByteDance - Tiktok,Hiring,Information Technology,,India
ByteDance - Tiktok,Hiring,Consumer Tech,,
Cactus Communications,Hiring,Media & Entertainment,No,Mumbai
Cactus Communications,Hiring freezes,Communications,No,
CallHub,Hiring,Consulting & Services,,India
Candid Knots,Hiring freezes,Retail,,India
CanvasJS,Hiring,IT Infrastucture,No,Bangalore
Capgemini,Offer rescinded,IT Infrastucture,No,Mumbai
Capgemini,Hiring freezes,IT Infrastucture,No,
Capgemini,Offer rescinded,Consulting & Services,No,India
Capillary,Layoffs,Business Software,Yes,
Capillary Technologies,Layoffs,Productivity Software,,Bangalore
Capita india,Hiring freezes,Venture Capital,No,
